site_name,taxa_code,scientific_name,zone,1990,1991,1992,1993,1994,1995,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabrillo I,ASTMIN,Asterina miniata,Zone I,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0
Cabrillo I,ASTSER,Astrometis sertulifera,Zone I,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo I,HALCOR,Haliotis corrugata,Zone I,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo I,HALCRA,Haliotis cracherodii,Zone I,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo I,HALFUL,Haliotis fulgens,Zone I,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,1,0,0
Cabrillo I,PISGIG,Pisaster giganteus,Zone I,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,3,1,0,0,0,0,2,0,0,0,0,NA,0,0,0
Cabrillo I,PISOCH,Pisaster ochraceus,Zone I,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,ASTMIN,Asterina miniata,Zone II,6,5,1,NA,3,1,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,ASTSER,Astrometis sertulifera,Zone II,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,HALCOR,Haliotis corrugata,Zone II,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,HALCRA,Haliotis cracherodii,Zone II,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,HALFUL,Haliotis fulgens,Zone II,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0
Cabrillo II,PISGIG,Pisaster giganteus,Zone II,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,1,0,4,1,0,1,1,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,PISOCH,Pisaster ochraceus,Zone II,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,ASTMIN,Asterina miniata,Zone III,18,12,7,NA,7,2,1,0,0,3,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,ASTSER,Astrometis sertulifera,Zone III,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,HALCOR,Haliotis corrugata,Zone III,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,HALCRA,Haliotis cracherodii,Zone III,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,HALFUL,Haliotis fulgens,Zone III,0,0,0,0,2,1,0,0,1,0,1,1,NA,0,0,0,1,2,0,0,1,2,1,0,0,0,22,NA,5,4,2
Cabrillo III,PISGIG,Pisaster giganteus,Zone III,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,PISOCH,Pisaster ochraceus,Zone III,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo I,STRFRA,Strongylocentrotus franciscanus,Zone I,NA,NA,NA,NA,NA,NA,1,NA,0,9,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo I,STRPUR,Strongylocentrotus purpuratus,Zone I,NA,NA,NA,NA,NA,NA,3,NA,1,4,0,17,6,1,2,0,1,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0
Cabrillo II,STRFRA,Strongylocentrotus franciscanus,Zone II,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo II,STRPUR,Strongylocentrotus purpuratus,Zone II,NA,NA,NA,NA,NA,NA,0,NA,8,0,6,15,5,1,6,9,6,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Cabrillo III,STRFRA,Strongylocentrotus franciscanus,Zone III,NA,NA,NA,NA,NA,NA,0,NA,5,0,1,5,NA,0,2,0,1,1,0,1,0,1,NA,0,0,0,0,NA,0,0,0
Cabrillo III,STRPUR,Strongylocentrotus purpuratus,Zone III,NA,NA,NA,NA,NA,NA,4,NA,0,17,38,5,NA,2,0,5,1,5,0,0,0,0,0,1,0,0,0,NA,0,0,0
