site_code,type,transect_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CAB1,Red algae,1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,2,97,100,100,100,100,99,100,99.00000000000001,99,99,99,100,100,99,40,NA,99,100,99
CAB1,Red algae,2,27.8,31.099999999999998,33.00000000000001,40.2,41.2,41.9,42.4,42.699999999999996,41.8,44.1,33,32,25,100,100,100,100,100,100,98,100,100,100,100,100,99,100,99,NA,99,99,100
CAB1,Phyllospadix,3,57.099999999999994,68.60000000000001,80.30000000000001,84.6,83.7,77.8,72.1,69.89999999999999,86.1,86.3,77,71,65,97,100,100,100,100,100,100,100,100,100,100,100,100,100,99,NA,100,100,99
CAB1,Phyllospadix,4,56.099999999999994,92.7,94.2,96.4,98.89999999999999,85.9,80.1,78.4,97.39999999999999,97.8,84,75,88,98,100,100,100,100,99,100,100,100,100,100,100,99,98,100,NA,100,100,96
CAB1,Egregia,5,37.3,62.1,71.9,73.50000000000001,90.60000000000001,93.5,89.9,81.69999999999999,87.4,96.2,76,72,90,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,NA,100,100,100
CAB1,Egregia,6,88.4,85.8,74.4,60,87.5,86.7,81.39999999999999,45.800000000000004,67,90.19999999999999,95,63,63,100,100,100,100,100,100,94,98,97,100,92,100,96,95,100,NA,100,100,100
CAB2,Red algae,1,2,1.5,4,8.4,NA,3,8.799999999999999,13.200000000000001,30.9,11.4,5,3,1,100,100,100,100,100,98,100,97,97,99,100,99,100,100,99,NA,100,99,100
CAB2,Red algae,2,12.8,17.4,32.5,32.8,NA,37.2,36.7,9.8,49.599999999999994,61.5,55,46,66,100,100,100,100,100,99,100,100,100,100,100,100,100,100,99,NA,100,100,100
CAB2,Phyllospadix,3,78.5,97.99999999999999,99,98.6,NA,NA,98.9,98.39999999999999,80.8,88,98,94,92,100,100,100,100,100,98,95,97,98,99,94,100,97,100,100,NA,100,100,100
CAB2,Phyllospadix,4,75.6,76.9,87,77.1,NA,92.80000000000001,89.3,83.2,81.8,93,87,81,94,100,100,100,100,100,100,100,100,100,100,94,100,100,97.00000000000001,100,NA,100,100,100
CAB2,Egregia,5,64.7,68.7,82.8,77.6,NA,99.2,98.69999999999999,86.7,100,100,99,80,92,100,100,100,100,100,100,97,98,100,99,91,100,100,100,100,NA,100,100,100
CAB2,Egregia,6,52.6,78.30000000000001,77.4,87.9,NA,64.4,82.4,82.89999999999999,76.2,84,85,78,76,100,100,100,100,100,99,100,100,100.00000000000001,100,100,99,100,100,100,NA,98,100,100
CAB3,Red algae,1,7.5,11.3,11.5,9.8,NA,6.9,5.3,9.8,17.5,19.8,18,16,11,100,100,100,100,100,98,99,98,100,99,98,100,99,100,98,NA,98,100,100
CAB3,Red algae,2,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,100,100,99,100,100,100,100,100,100,100,100,100,99,100,76,NA,97,100,100
CAB3,Phyllospadix,3,72.3,72,76,73.60000000000001,69.6,59.3,86.5,86.10000000000001,50.4,91.2,78,84,76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,NA,100,100,100
CAB3,Phyllospadix,4,82.6,81.6,84.3,63.800000000000004,NA,85.2,86.2,91.5,84.5,98.8,87,84,76,100,100,100,100,100,99,100,100,100,95,96,100,99,97,100,NA,100,100,100
CAB3,Egregia,5,42.599999999999994,40.9,36.4,32.3,45.900000000000006,36.4,29.400000000000002,29.099999999999998,24.9,59.00000000000001,57,54,75,100,100,100,100,100,97,100,99,98,98,84.00000000000001,95,90,90,85,NA,100,100,100
CAB3,Egregia,6,44.1,44.800000000000004,51.900000000000006,25,47.800000000000004,45.300000000000004,59.5,38.6,36.5,81,63,69,72,100,100,100,100,100,96,100,98,98,94,93,100,96,100,100,NA,100,100,100
