taxa_code,scientific_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANEMON,Anemones (generic),NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,NA,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
ARTCOR,Articulated corallines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
ROCK,Bare rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
COLPOM,Colpomenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRUCOR,Crustose corallines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
EGRMEN,Egregia menziesii,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,NA,X
HALCYS,Halidrys dioica/cystoseira spp,NA,NA,NA,NA,X,X,NA,NA,X,NA,X,X,X,X,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NONCRU,Non-coralline crust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
OTHBRO,Other brown algae,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,X,X,X,NA,X,X,NA,X,NA,X,X,X,X,X,X,X,NA,NA,X,X,X
OTHGRE,Other green algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,NA,NA,NA,X,X
OTHINV,Other invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,NA,NA,X,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,X,NA,NA,X,NA,NA
OTHRED,Other red algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
PHRCAL,Phragmatopoma californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
PHYALL,Phyllospadix spp,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
SAND,Sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
SARMUT,Sargassum muticum,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X
UNIDEN,Unidentified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
